,Дата,FIRAL2200,FIRC0953,FIRC0954,FIRC0958,FIRC0959,FIRC0960,FIRC0961,FIRC0962,FIRC0964,FIRC0989,FIRCAL0956,FIRCAL0957,FIRCAL0963,FIRCAL0973,PIRAH0736,PIRAH0736-1,TIR0286,TIR0287,TIR0288,TIR0289,TIR0291,TIR0292,TIR0293,TIR0373,TIR0376,TIR0383,TIR0384,TIR0385,TIR0388,TIR0390,TIR0392,TIR0656,TIR0660,TIR0661,TIR0680,TIR9302,TIRC0274,TIRC2409-1,TIRC2403,FIRC2454,FIRC2455,FIRC2456,FIRC2457,TIRC2411,FIRC2458,FIRC2459,FIRC2460,FIRC2461,"Фракционный состав
Начало кипения (°С)
фр. 150-250"
920,2020-11-20 10:00:00,475.95458984375,52.25921630859375,40.65578079223633,7.396765232086182,-12.578967094421387,234.4451904296875,469.082275390625,22.321985244750977,69.92610931396484,121.38011169433594,179.51011657714844,326.3760986328125,64.75801086425781,123.97422790527344,1.0965551137924194,1.1035915613174438,108.8276138305664,140.48785400390625,178.50827026367188,183.88636779785156,252.5401611328125,256.166259765625,336.9742736816406,106.39894104003906,85.15160369873047,210.53030395507812,155.8338623046875,301.1989440917969,53.58930206298828,136.0487060546875,239.12503051757812,152.51873779296875,306.63458251953125,179.2101593017578,57.83781051635742,51.53056335449219,113.25806427001953,Comm Fail,362.1015930175781,97.92890930175781,98.60496520996094,106.47953796386719,97.50213623046875,362.807861328125,101.35450744628906,104.90611267089844,97.53197479248047,96.15846252441406,140.0
921,2020-11-20 16:00:00,481.5790100097656,53.12675857543945,39.67710494995117,7.494578838348389,-12.672117233276367,235.20925903320312,469.5401611328125,21.060823440551758,70.00838470458984,121.65666961669922,179.2711181640625,328.03033447265625,64.31783294677734,122.04801940917969,1.0998281240463257,1.1030861139297485,108.58159637451172,141.15399169921875,178.83433532714844,184.39524841308594,251.99412536621094,255.80201721191406,338.32977294921875,106.26991271972656,84.84406280517578,211.17440795898438,156.43190002441406,302.06781005859375,53.052459716796875,136.87060546875,238.50634765625,153.29388427734375,302.92620849609375,179.53775024414062,61.128135681152344,51.07548141479492,113.07127380371094,Comm Fail,363.3296203613281,96.29196166992188,96.7362060546875,106.69696044921875,99.770263671875,363.4815673828125,101.35264587402344,105.15637969970703,97.47267150878906,96.03018188476562,143.0
922,2020-11-20 22:00:00,481.2727966308594,52.480499267578125,39.795509338378906,7.48700475692749,-12.930065155029297,234.20408630371094,469.4149169921875,21.041902542114258,69.89891815185547,121.88748168945312,179.13441467285156,326.2931213378906,64.47673034667969,121.51669311523438,1.0978844165802002,1.1017518043518066,108.4958267211914,140.92269897460938,179.0556182861328,184.18077087402344,251.74949645996094,255.82347106933594,338.2834777832031,105.84734344482422,84.82205963134766,210.5171356201172,156.27430725097656,302.2750549316406,52.888797760009766,137.04669189453125,238.39895629882812,151.79095458984375,302.6537780761719,179.67666625976562,56.704795837402344,50.64466857910156,113.08251953125,Comm Fail,362.9597473144531,96.35742950439453,96.54154205322266,106.69538879394531,99.72960662841797,362.8478088378906,101.22232818603516,105.14134216308594,97.43120574951172,96.13565063476562,139.0
923,2020-11-21 04:00:00,477.62335205078125,50.43128204345703,40.46090316772461,7.495349884033203,-12.677703857421875,234.40426635742188,469.8632507324219,19.022062301635742,69.97406005859375,120.79942321777344,179.744140625,329.01116943359375,65.69354248046875,121.47423553466797,1.0972886085510254,1.1056227684020996,108.57601165771484,139.19342041015625,178.0202178955078,183.44557189941406,251.50088500976562,255.7520294189453,337.8648681640625,105.03116607666016,82.56880950927734,210.0740966796875,155.06495666503906,302.8583679199219,53.74998474121094,135.4808349609375,237.77008056640625,152.73243713378906,302.6210632324219,178.34132385253906,62.393829345703125,51.21658706665039,113.3408432006836,Comm Fail,362.83966064453125,96.35226440429688,96.95502471923828,106.95527648925781,99.93600463867188,363.0119323730469,101.0936508178711,104.9715805053711,97.64256286621094,96.27010345458984,140.0
924,2020-11-21 10:00:00,481.7834777832031,53.00405502319336,39.994712829589844,7.455702781677246,-12.55749225616455,235.2362823486328,467.9718017578125,17.966236114501953,70.01705932617188,121.55879211425781,180.1828155517578,329.4871520996094,65.55939483642578,121.4123764038086,1.1019893884658813,1.1035045385360718,108.33676147460938,140.51258850097656,177.6879119873047,182.6063690185547,250.7245330810547,254.70851135253906,338.30303955078125,106.2218246459961,83.59571075439453,209.88819885253906,155.19924926757812,300.7281799316406,53.18728256225586,135.65513610839844,237.5240478515625,153.33934020996094,303.6665954589844,178.0374755859375,65.1323013305664,51.39167785644531,113.04203796386719,Comm Fail,362.9444274902344,96.45744323730469,96.82251739501953,107.02054595947266,99.88526916503906,362.8591613769531,101.04498291015625,104.66410064697266,97.57742309570312,96.48210144042969,139.0
925,2020-11-21 16:00:00,485.5796203613281,56.14453125,39.679134368896484,7.491916179656982,-12.602495193481445,234.716552734375,469.40478515625,16.947511672973633,69.99478912353516,122.09156799316406,180.10231018066406,329.4590759277344,66.90855407714844,118.67425537109375,1.1006293296813965,1.101757526397705,108.90225219726562,141.10833740234375,177.80401611328125,182.31065368652344,250.77059936523438,254.7400360107422,337.015380859375,108.1258544921875,84.00701141357422,210.80966186523438,155.89373779296875,302.13104248046875,53.38890075683594,136.79283142089844,237.0272674560547,154.39898681640625,301.1484069824219,177.75506591796875,64.39234161376953,51.57871627807617,113.11371612548828,Comm Fail,362.7960205078125,96.18022918701172,96.84066009521484,107.00202178955078,99.51454162597656,363.1397705078125,100.56156158447266,104.66557312011719,98.01126861572266,96.55095672607422,137.0
926,2020-11-21 22:00:00,485.3609313964844,56.99605941772461,39.54502487182617,7.473945617675781,-12.731722831726074,233.99356079101562,469.2972412109375,16.777156829833984,70.02166748046875,120.90106964111328,180.1724090576172,329.5881042480469,67.01036071777344,119.04082489013672,1.0988500118255615,1.098149299621582,108.9813461303711,141.32275390625,177.62725830078125,182.49725341796875,250.6698760986328,254.44082641601562,336.97088623046875,108.79021453857422,84.65778350830078,210.7701416015625,155.7374725341797,301.938232421875,53.67494201660156,136.76341247558594,237.00674438476562,154.359619140625,301.4076232910156,177.99005126953125,63.45147705078125,51.777915954589844,113.07798767089844,Comm Fail,362.8907165527344,96.34208679199219,97.36978149414062,106.76090240478516,99.72920227050781,362.8195495605469,100.38945770263672,104.6064224243164,98.34651184082031,96.72865295410156,141.0
927,2020-11-22 04:00:00,485.81390380859375,58.37527847290039,40.203495025634766,7.502901554107666,-12.464125633239746,236.20228576660156,469.63714599609375,15.90202522277832,70.02924346923828,121.9539566040039,179.6953582763672,328.7005615234375,67.41358184814453,119.3641357421875,1.0995479822158813,1.1037307977676392,109.19144439697266,141.21763610839844,177.17178344726562,181.7701873779297,250.07296752929688,253.89625549316406,337.5891418457031,108.93582153320312,84.48807525634766,210.44601440429688,155.68701171875,302.01055908203125,52.666316986083984,136.93350219726562,236.60389709472656,154.1902313232422,300.59564208984375,177.4598846435547,66.1365966796875,50.677127838134766,112.69799041748047,Comm Fail,363.1037292480469,96.32280731201172,96.81986236572266,107.29923248291016,99.56775665283203,363.3428955078125,100.51646423339844,104.46369934082031,98.29629516601562,96.80248260498047,140.0
928,2020-11-22 16:00:00,488.996826171875,57.55025100708008,39.957820892333984,7.688053131103516,-12.295431137084961,234.9095458984375,470.0559387207031,13.912330627441406,68.94620513916016,122.00396728515625,178.85638427734375,334.5359191894531,66.99161529541016,120.01603698730469,1.0993112325668335,1.1032460927963257,109.882080078125,141.0484619140625,175.46568298339844,180.96099853515625,248.4443359375,252.59478759765625,335.5153503417969,107.99256134033203,85.74329376220703,209.18019104003906,154.9025421142578,299.4881591796875,53.69662094116211,134.93824768066406,234.81024169921875,153.72943115234375,299.9786376953125,176.216064453125,56.468082427978516,51.670963287353516,112.84246063232422,Comm Fail,362.9456787109375,96.3134994506836,96.89321899414062,106.51136779785156,99.97430419921875,362.59698486328125,100.33235168457031,104.3276138305664,98.27171325683594,97.14531707763672,138.0
929,2020-11-22 22:00:00,487.28143310546875,56.945133209228516,40.29827117919922,7.713712215423584,-12.13566780090332,235.6427459716797,470.44976806640625,13.951220512390137,69.00597381591797,120.32787322998047,179.384033203125,335.6914978027344,66.89655303955078,119.66690826416016,1.0961002111434937,1.0999647378921509,109.68891906738281,140.51722717285156,174.8837432861328,180.1582489013672,247.83999633789062,252.2890167236328,335.7987365722656,106.72987365722656,85.92498016357422,208.11158752441406,154.53240966796875,300.2616882324219,53.25663757324219,134.2386474609375,234.6951141357422,152.84617614746094,299.86602783203125,175.4158172607422,56.77809524536133,51.34994125366211,112.87242889404297,Comm Fail,362.2716064453125,96.52555847167969,96.72401428222656,107.01188659667969,99.70880126953125,361.9931640625,100.39178466796875,104.2945785522461,98.26754760742188,96.94610595703125,143.0
